specialist,adaptation_seed,round,batch,rollout_seed,normal_start_count,failure_start_count,success_start_count,failure_bank_size,success_pool_size,matched_success_bank_size,exact_pair_count,exact_match_passed,maximum_marginal_imbalance,bank_transaction_attempted,bank_transaction_committed,bank_transaction_restored,usable_preflight_passed,cbf_intervention_fraction,cbf_correction_mean
lateral,373,1,1,1000383,40,12,12,256,1024,244,12,True,0,True,True,False,True,0.0572967529296875,0.015748372301459312
lateral,373,1,2,1000384,40,12,12,256,1024,244,12,True,0,True,True,False,True,0.0540008544921875,0.01640443503856659
lateral,373,2,1,1000393,40,12,12,256,1024,244,12,True,0,True,True,False,True,0.0501861572265625,0.013248427771031857
lateral,373,2,2,1000394,40,12,12,256,1024,243,12,True,0,True,True,False,True,0.0516510009765625,0.014176265336573124
lateral,373,3,1,1000403,40,12,12,256,1024,243,12,True,0,True,True,False,True,0.054595947265625,0.014201010577380657
lateral,373,3,2,1000404,40,12,12,256,1024,243,12,True,0,True,True,False,True,0.0497894287109375,0.012552617117762566
lateral,373,4,1,1000413,40,12,12,256,1024,242,12,True,0,True,True,False,True,0.05377197265625,0.014229550026357174
lateral,373,4,2,1000414,40,12,12,256,1024,242,12,True,0,True,True,False,True,0.05242919921875,0.013629181310534477
lateral,373,5,1,1000423,40,12,12,256,1024,242,12,True,0,True,True,False,True,0.051483154296875,0.013109356164932251
lateral,373,5,2,1000424,40,12,12,256,1024,242,12,True,0,True,True,False,True,0.0488739013671875,0.011532115750014782
lateral,373,6,1,1000433,40,12,12,256,1024,245,12,True,0,True,True,False,True,0.0561676025390625,0.01536630094051361
lateral,373,6,2,1000434,40,12,12,256,1024,246,12,True,0,True,True,False,True,0.0521697998046875,0.014644760638475418
lateral,373,7,1,1000443,40,12,12,256,1024,246,12,True,0,True,True,False,True,0.055419921875,0.0140504390001297
lateral,373,7,2,1000444,40,12,12,256,1024,245,12,True,0,True,True,False,True,0.049407958984375,0.012965778820216656
lateral,373,8,1,1000453,40,12,12,256,1024,245,12,True,0,True,True,False,True,0.0517120361328125,0.013178873807191849
lateral,373,8,2,1000454,40,12,12,256,1024,246,12,True,0,True,True,False,True,0.0521087646484375,0.013583071529865265
