specialist,adaptation_seed,round,batch,rollout_seed,normal_start_count,failure_start_count,success_start_count,failure_bank_size,success_pool_size,matched_success_bank_size,exact_pair_count,exact_match_passed,maximum_marginal_imbalance,bank_transaction_attempted,bank_transaction_committed,bank_transaction_restored,usable_preflight_passed,cbf_intervention_fraction,cbf_correction_mean
contact_stability,173,1,1,1000183,40,12,12,256,528,47,12,True,0,True,True,False,True,0.062103271484375,0.015395130962133408
contact_stability,173,1,2,1000184,40,12,12,256,696,71,12,True,0,True,True,False,True,0.0561981201171875,0.012797442264854908
contact_stability,173,2,1,1000193,40,12,12,256,864,82,12,True,0,True,True,False,True,0.0574951171875,0.013869421556591988
contact_stability,173,2,2,1000194,40,12,12,256,1024,97,12,True,0,True,True,False,True,0.063507080078125,0.01715352013707161
contact_stability,173,3,1,1000203,40,12,12,256,1024,101,12,True,0,True,True,False,True,0.058746337890625,0.014506395906209946
contact_stability,173,3,2,1000204,40,12,12,256,1024,93,12,True,0,True,True,False,True,0.0615997314453125,0.015538882464170456
contact_stability,173,4,1,1000213,40,12,12,256,1024,83,12,True,0,True,True,False,True,0.0605010986328125,0.014109589159488678
contact_stability,173,4,2,1000214,40,12,12,256,1024,90,12,True,0,True,True,False,True,0.053466796875,0.01134096272289753
contact_stability,173,5,1,1000223,40,12,12,256,1024,97,12,True,0,True,True,False,True,0.05810546875,0.014010414481163025
contact_stability,173,5,2,1000224,40,12,12,256,1024,99,12,True,0,True,True,False,True,0.05377197265625,0.011438010260462761
contact_stability,173,6,1,1000233,40,12,12,256,1024,99,12,True,0,True,True,False,True,0.0561065673828125,0.012405532412230968
contact_stability,173,6,2,1000234,40,12,12,256,1024,89,12,True,0,True,True,False,True,0.0573577880859375,0.013348467648029327
contact_stability,173,7,1,1000243,40,12,12,256,1024,77,12,True,0,True,True,False,True,0.0563201904296875,0.011828193441033363
contact_stability,173,7,2,1000244,40,12,12,256,1024,84,12,True,0,True,True,False,True,0.0579833984375,0.013642081059515476
contact_stability,173,8,1,1000253,40,12,12,256,1024,88,12,True,0,True,True,False,True,0.0516204833984375,0.010851936414837837
contact_stability,173,8,2,1000254,40,12,12,256,1024,87,12,True,0,True,True,False,True,0.053863525390625,0.011659296229481697
