specialist,adaptation_seed,round,batch,rollout_seed,normal_start_count,failure_start_count,success_start_count,failure_bank_size,success_pool_size,matched_success_bank_size,exact_pair_count,exact_match_passed,maximum_marginal_imbalance,bank_transaction_attempted,bank_transaction_committed,bank_transaction_restored,usable_preflight_passed,cbf_intervention_fraction,cbf_correction_mean
lateral,73,1,1,1000083,40,12,12,256,1024,245,12,True,0,True,True,False,True,0.0597686767578125,0.01774262823164463
lateral,73,1,2,1000084,40,12,12,256,1024,245,12,True,0,True,True,False,True,0.05535888671875,0.015488073229789734
lateral,73,2,1,1000093,40,12,12,256,1024,218,12,True,0,True,True,False,True,0.051605224609375,0.013325333595275879
lateral,73,2,2,1000094,40,12,12,256,1024,241,12,True,0,True,True,False,True,0.0501556396484375,0.012942705303430557
lateral,73,3,1,1000103,40,12,12,256,1024,240,12,True,0,True,True,False,True,0.0490875244140625,0.0133905578404665
lateral,73,3,2,1000104,40,12,12,256,1024,241,12,True,0,True,True,False,True,0.0469818115234375,0.01122401561588049
lateral,73,4,1,1000113,40,12,12,256,1024,242,12,True,0,True,True,False,True,0.0520477294921875,0.01488347165286541
lateral,73,4,2,1000114,40,12,12,256,1024,244,12,True,0,True,True,False,True,0.0477752685546875,0.012698025442659855
lateral,73,5,1,1000123,40,12,12,256,1024,246,12,True,0,True,True,False,True,0.0521392822265625,0.014051665551960468
lateral,73,5,2,1000124,40,12,12,256,1024,245,12,True,0,True,True,False,True,0.0501861572265625,0.011452792212367058
lateral,73,6,1,1000133,40,12,12,256,1024,246,12,True,0,True,True,False,True,0.0503692626953125,0.01290050707757473
lateral,73,6,2,1000134,40,12,12,256,1024,246,12,True,0,True,True,False,True,0.0534515380859375,0.014341974630951881
lateral,73,7,1,1000143,40,12,12,256,1024,243,12,True,0,True,True,False,True,0.0510711669921875,0.012626230716705322
lateral,73,7,2,1000144,40,12,12,256,1024,242,12,True,0,True,True,False,True,0.048583984375,0.011480636894702911
lateral,73,8,1,1000153,40,12,12,256,1024,243,12,True,0,True,True,False,True,0.0507965087890625,0.01298182550817728
lateral,73,8,2,1000154,40,12,12,256,1024,244,12,True,0,True,True,False,True,0.053436279296875,0.014471766538918018
