context,domain,condition,runtime_filter,episodes,success_rate,fall_rate,mean_return,mean_reached_riser,mean_completion_time_s,mean_success_completion_time_s,intervention_steps_per_riser,counterfactual_would_intervene_fraction,mean_correction_norm,mean_counterfactual_correction_norm,nominal_barrier_violation_steps_per_riser,toe_riser_kick_events_per_riser,unsafe_overlap_steps_per_riser,mean_episode_minimum_nominal_barrier_margin,global_minimum_nominal_barrier_margin,kick_episode_rate,checkpoint_sha256,actor_state_sha256
F3,target,v31_A2_off,False,512,0.501953125,0.498046875,-8.817773380316794,9.201171875,9.1269140625,10.751128404669261,0.0,0.1242547582056846,6.435875250151552e-08,0.027459717357490143,6.147102526002972,0.7652303120356612,0.9216726809594565,-18.736637584865093,-58.17206954956055,0.96875,8fc5134f0bf083c09e259f61acb72ea85427fc3053335d665e0992bf6ed06e64,cff779ebb0816324066a9298afc7847787a1dff59a47bd18d3ad99a63ffec930
F3,target,v31_A2_on,True,512,0.65234375,0.34765625,-9.28606139216572,9.7265625,9.3154296875,10.452754491017965,6.00562248995984,0.12541356536324563,0.03200069693127372,0.03200069693127372,5.996184738955823,0.726706827309237,0.8319277108433735,-21.180720234289765,-112.10301971435547,0.99609375,8fc5134f0bf083c09e259f61acb72ea85427fc3053335d665e0992bf6ed06e64,cff779ebb0816324066a9298afc7847787a1dff59a47bd18d3ad99a63ffec930
F3,target,LongConstant_off,False,512,0.505859375,0.494140625,-8.768861795309931,9.083984375,9.115859375,10.847335907335907,0.0,0.12602949872732103,6.419529306747626e-08,0.028211990496386962,6.305955708449796,0.7613416469576435,1.0010750376263169,-18.608930530026555,-62.44971466064453,0.970703125,94d73fbc3050a43ce726b67efa5523c8173760d7a309f4421185da1f068c2c61,aaa59460d9c093a3729391a025b97b342b82fa1a31e205102692dfb3dfd2f4eb
F3,target,LongConstant_on,True,512,0.65625,0.34375,-8.971174707636237,9.76953125,9.367812500000001,10.507202380952382,5.8640543782487,0.12231043800246856,0.03107851160814522,0.03107851160814522,5.85405837664934,0.7335065973610556,0.8494602159136345,-20.859682800248265,-64.75226593017578,0.98828125,94d73fbc3050a43ce726b67efa5523c8173760d7a309f4421185da1f068c2c61,aaa59460d9c093a3729391a025b97b342b82fa1a31e205102692dfb3dfd2f4eb
F3,target,LongDecay_off,False,512,0.5234375,0.4765625,-8.532860226929188,9.3671875,9.2252734375,10.732313432835822,0.0,0.12165543873614858,6.444874431612788e-08,0.026628992902755923,5.977481234361968,0.7304003336113428,0.8940783986655546,-18.370537847280502,-39.60298538208008,0.962890625,306804a702c005347dff01b4701c97bfffb64d4dc98af29f54ce0a3ab8075543,7d25d98f170a2bc607aaf3c8bdb139010a681910765b082eb4cbf62aa82be10c
F3,target,LongDecay_on,True,512,0.673828125,0.326171875,-8.93167180288583,9.900390625,9.426171875,10.435130434782609,5.869994081672914,0.1233061207575318,0.030705047138864305,0.030705047138864305,5.863681199447623,0.728743341882028,0.8370487275596765,-20.929714616388083,-90.64505767822266,0.994140625,306804a702c005347dff01b4701c97bfffb64d4dc98af29f54ce0a3ab8075543,7d25d98f170a2bc607aaf3c8bdb139010a681910765b082eb4cbf62aa82be10c
F3,target,Mixed_off,False,512,0.501953125,0.498046875,-8.942147519439459,9.197265625,9.2299609375,10.923501945525292,0.0,0.12548299313969877,6.419712375507391e-08,0.02778846711828327,6.282225525589297,0.7753238479507326,1.002335952431514,-18.57631727680564,-52.142982482910156,0.966796875,3dae0f9cafdb522c5208380cafb0fc7a4fc4ff202619f7ea6f8d66412250ec47,ef0d6a3c495753caaec9b44eaa306b859d4a259441de48e47c77f7984e0f5c22
F3,target,Mixed_on,True,512,0.671875,0.328125,-8.819261926226318,9.7421875,9.4057421875,10.516627906976744,5.864073777064956,0.12147665779298716,0.030795768623734017,0.030795768623734017,5.857457898957498,0.7199278267842822,0.8215717722534082,-20.886248314753175,-106.61624145507812,0.998046875,3dae0f9cafdb522c5208380cafb0fc7a4fc4ff202619f7ea6f8d66412250ec47,ef0d6a3c495753caaec9b44eaa306b859d4a259441de48e47c77f7984e0f5c22
F3,D0,v31_A2_on,True,256,0.88671875,0.11328125,5.911120872944593,8.76953125,9.728671875,9.963964757709249,3.1416481069042317,0.05663831940061192,0.009555285568013374,0.009555285568013374,3.138084632516704,0.9265033407572383,1.0610244988864141,-14.125385401770473,-52.021697998046875,1.0,8fc5134f0bf083c09e259f61acb72ea85427fc3053335d665e0992bf6ed06e64,cff779ebb0816324066a9298afc7847787a1dff59a47bd18d3ad99a63ffec930
F3,D0,LongConstant_on,True,256,0.9140625,0.0859375,6.551153725944459,8.8046875,9.8059375,10.004700854700854,2.953859804791482,0.053045030115682464,0.008490072466712514,0.008490072466712514,2.9520851818988465,0.9152617568766637,0.9858030168589175,-13.933638863265514,-53.9278564453125,1.0,94d73fbc3050a43ce726b67efa5523c8173760d7a309f4421185da1f068c2c61,aaa59460d9c093a3729391a025b97b342b82fa1a31e205102692dfb3dfd2f4eb
F3,D0,LongDecay_on,True,256,0.92578125,0.07421875,6.597423169761896,8.859375,9.854453125,9.993333333333332,2.989858906525573,0.053759008062662025,0.008550649122607133,0.008550649122607133,2.9876543209876543,0.9246031746031746,1.0158730158730158,-13.928220288828015,-48.087772369384766,1.0,306804a702c005347dff01b4701c97bfffb64d4dc98af29f54ce0a3ab8075543,7d25d98f170a2bc607aaf3c8bdb139010a681910765b082eb4cbf62aa82be10c
