evaluation_seed,environment_id,success,fell,timed_out,failure_type,toe_riser_kick,toe_riser_kick_count,unsafe_overlap_steps,return,steps,completion_time_s,max_riser,completion_fraction,intervention_count,would_intervene_count,nominal_barrier_violation_steps,mean_correction_norm,mean_counterfactual_correction_norm,minimum_nominal_barrier_margin,teacher_reprojection_max_abs_error,swing_selection_mismatch_count
201352633,0,False,True,False,balance_or_other_fall,False,0,0,-3.9981143474578857,144,2.88,1,0.1111111111111111,0,12,12,5.84346556327849e-08,0.013378159039550357,-12.138988494873047,0.0,0
201352633,1,False,True,False,toe_riser_under_clearance,True,7,7,-13.42618465423584,532,10.64,9,1.0,0,35,35,6.4023811148245e-08,0.012558929005959877,-15.115309715270996,0.0,0
201352633,2,True,False,False,success,True,6,6,0.10392379760742188,467,9.34,9,1.0,0,42,42,6.502731705091423e-08,0.017036867856468838,-15.772863388061523,0.0,0
201352633,3,True,False,False,success,True,8,9,1.886237382888794,418,8.36,9,1.0,0,32,32,6.865088378260821e-08,0.01372049299723794,-11.66584587097168,0.0,0
201352633,4,True,False,False,success,True,9,10,-0.7151927947998047,444,8.88,9,1.0,0,30,30,6.942477042897948e-08,0.010930648795119277,-10.981184005737305,0.0,0
201352633,5,True,False,False,success,True,10,10,1.0850307941436768,461,9.22,9,1.0,0,38,38,6.382046245925387e-08,0.013161681996508948,-11.524676322937012,0.0,0
201352633,6,False,True,False,toe_riser_under_clearance,True,4,4,-7.955900192260742,318,6.36,6,0.6666666666666666,0,46,45,6.309530260107252e-08,0.0334070973426291,-16.333276748657227,0.0,0
201352633,7,True,False,False,success,True,8,8,0.6768250465393066,400,8.0,9,1.0,0,28,28,6.77174148222548e-08,0.012706650495529175,-13.32425594329834,0.0,0
201352633,8,True,False,False,success,True,5,5,-0.009853363037109375,423,8.46,9,1.0,0,40,40,6.440537923206102e-08,0.020654486708043596,-20.459686279296875,0.0,0
201352633,9,True,False,False,success,True,5,5,-0.24265193939208984,463,9.26,9,1.0,0,49,49,6.258490765804212e-08,0.019351716175450104,-13.108807563781738,0.0,0
201352633,10,False,True,False,toe_riser_under_clearance,True,6,6,-10.677061080932617,412,8.24,9,1.0,0,41,41,6.656466335627856e-08,0.01962947382510287,-18.51993179321289,0.0,0
