evaluation_seed,environment_id,success,fell,timed_out,ever_intervened,post_intervention_fall,toe_riser_kick_count,unsafe_overlap_steps,return,steps,completion_time_s,max_riser,completion_fraction,intervention_count,intervention_event_count,mean_velocity_correction_norm,mean_velocity_correction_jerk,toe_riser_contact_impulse,toe_riser_contact_force_peak,post_intervention_mean_abs_root_roll,post_intervention_mean_abs_root_pitch,post_intervention_mean_support_foot_slip,minimum_nominal_margin,minimum_filtered_margin,maximum_nominal_safe_target_error,all_finite
201355880,0,True,False,False,False,False,9,9,-5.055258274078369,540,10.8,9,1.0,0,0,0.0,0.0,57.430538177490234,668.5883178710938,0.0,0.0,0.0,-12.347627639770508,-12.347627639770508,2.384185791015625e-07,True
201355880,1,True,False,False,False,False,5,5,-0.45917606353759766,401,8.02,9,1.0,0,0,0.0,0.0,53.48138427734375,707.281982421875,0.0,0.0,0.0,-18.599321365356445,-18.599321365356445,2.384185791015625e-07,True
201355880,2,False,True,False,False,False,5,5,-11.468939781188965,249,4.98,3,0.3333333333333333,0,0,0.0,0.0,42.645179748535156,943.7960205078125,0.0,0.0,0.0,-51.406105041503906,-51.406105041503906,2.384185791015625e-07,True
201355880,3,True,False,False,False,False,5,5,-4.59379243850708,527,10.540000000000001,9,1.0,0,0,0.0,0.0,41.553863525390625,470.90618896484375,0.0,0.0,0.0,-17.332319259643555,-17.332319259643555,2.384185791015625e-07,True
201355880,4,True,False,False,False,False,5,5,0.337094783782959,399,7.98,9,1.0,0,0,0.0,0.0,40.45881652832031,465.9975891113281,0.0,0.0,0.0,-12.449491500854492,-12.449491500854492,1.7881393432617188e-07,True
201355880,5,True,False,False,False,False,4,4,0.33183813095092773,385,7.7,9,1.0,0,0,0.0,0.0,24.382461547851562,537.003173828125,0.0,0.0,0.0,-10.764105796813965,-10.764105796813965,2.384185791015625e-07,True
201355880,6,True,False,False,False,False,4,4,-2.63472318649292,521,10.42,9,1.0,0,0,0.0,0.0,33.53374481201172,454.7976989746094,0.0,0.0,0.0,-18.479284286499023,-18.479284286499023,2.384185791015625e-07,True
201355880,7,True,False,False,False,False,6,7,-14.294477462768555,620,12.4,9,1.0,0,0,0.0,0.0,44.61793518066406,453.8477783203125,0.0,0.0,0.0,-36.99985122680664,-36.99985122680664,2.384185791015625e-07,True
201355880,8,True,False,False,False,False,6,6,0.3043680191040039,443,8.86,9,1.0,0,0,0.0,0.0,48.76099395751953,446.6878662109375,0.0,0.0,0.0,-16.8802547454834,-16.8802547454834,2.384185791015625e-07,True
201355880,9,True,False,False,False,False,5,5,1.4485316276550293,408,8.16,9,1.0,0,0,0.0,0.0,39.579254150390625,480.84368896484375,0.0,0.0,0.0,-8.905837059020996,-8.905837059020996,2.384185791015625e-07,True
201355880,10,False,True,False,False,False,4,8,-12.008926391601562,419,8.38,9,1.0,0,0,0.0,0.0,19.81790542602539,368.98284912109375,0.0,0.0,0.0,-16.686485290527344,-16.686485290527344,2.384185791015625e-07,True
201355880,11,False,True,False,False,False,4,4,-5.803066730499268,248,4.96,3,0.3333333333333333,0,0,0.0,0.0,32.70526885986328,505.8893127441406,0.0,0.0,0.0,-16.752031326293945,-16.752031326293945,1.1920928955078125e-07,True
201355880,12,True,False,False,False,False,9,9,0.09734249114990234,411,8.22,9,1.0,0,0,0.0,0.0,63.75265121459961,447.4089050292969,0.0,0.0,0.0,-11.95101261138916,-11.95101261138916,2.384185791015625e-07,True
201355880,13,False,True,False,False,False,5,5,-12.052739143371582,300,6.0,5,0.5555555555555556,0,0,0.0,0.0,40.168006896972656,639.087890625,0.0,0.0,0.0,-20.132598876953125,-20.132598876953125,2.384185791015625e-07,True
201355880,14,True,False,False,False,False,7,8,-0.5360488891601562,436,8.72,9,1.0,0,0,0.0,0.0,46.338802337646484,447.91357421875,0.0,0.0,0.0,-9.739344596862793,-9.739344596862793,2.384185791015625e-07,True
201355880,15,False,True,False,False,False,5,17,-7.862163066864014,261,5.22,3,0.3333333333333333,0,0,0.0,0.0,12.543157577514648,344.7033386230469,0.0,0.0,0.0,-16.465208053588867,-16.465208053588867,2.384185791015625e-07,True
